id,ckpt,n_atoms,n_basis,n_occ,t_fock_s,method,f1_res_fro,f1_res_max,f1_res_occ,f1_res_frontier,f1_grad,f1_pt1_homo,f1_pt1_lumo,f1_dhomo,f1_dlumo,f1_gap,gap_hat,f1_sB_homo,f1_sB_lumo,ref_dhomo_F1,ref_dlumo_F1,ref_res_true
11,id,6,57,12,0.611396312713623,df-g1,0.10781011240737295,0.03230267168466838,0.032451466374496155,0.013083370859531651,0.0842072942535252,0.012752142058124544,0.004598039896610782,0.0127557867266401,0.004844024758318265,0.2769547279938856,0.2848664899622074,0.03750726909829213,0.031858921439411006,0.010209498177978588,0.002680081294174349,0.048279616845584294
24,id,4,56,13,0.3837921619415283,df-g1,0.08676356123581809,0.02030266101923317,0.08448801000990391,0.006954130097917395,0.17154250457325027,-0.0016306787605087794,-0.006953608147659177,-0.0017091114994400303,-0.006924616360275512,0.27830506865534277,0.28352057351617826,0.012852759434936847,0.013871463360692657,-0.0005677941084147875,-0.0018124868521290638,0.057399482676677376
31,id,8,76,15,0.5910022258758545,df-g1,0.025549113053592587,0.006448137272112575,0.006456831444280122,0.0018649592422908792,0.03111127330057849,-0.0013458150575231791,-0.0014955721098438548,-0.0014225467152065296,-0.0025015269573681054,0.2746219739624152,0.2757009542045768,0.010075103640731132,0.07325790191518354,-0.0006290261399069519,-0.00010683722343452287,0.02365765234568876
32,id,8,76,15,0.5468108654022217,df-g1,0.03045299923352569,0.008154060987333622,0.008412950446283114,0.0028492849336089233,0.03264874697014255,-0.0020481962478547605,0.0017742926449365094,-0.0020614500088046994,0.0011901084833087182,0.280859294040842,0.27760773554872853,0.010876295426347424,0.037369372855530644,-0.0008874408155557512,-0.0007234685511580061,0.024478223712804878
33,id,7,71,15,0.5375900268554688,df-g1,0.036922978529145306,0.009592059995821245,0.00964851291338389,0.003879790311823567,0.045108574865106894,-0.0028979991315478872,0.0009701984584679201,-0.0029317376898127523,-0.0001815174459127377,0.2976226225006869,0.2948724022567869,0.011092859569874056,0.05085423031342086,-0.0006542488514645339,-0.0005281620754320634,0.02945696494000191
38,id,14,106,17,1.3136236667633057,df-g1,0.011772595883293442,0.002010808139788267,0.0020657079259701642,0.003753981670344719,0.011662676205992298,0.00025682335450739766,0.002015912388019167,0.00025059375264951944,0.001885419574152114,0.3793192264172409,0.3776844005957383,0.00776583287838519,0.0241384618682779,0.000411851063285118,0.00015837012021542585,0.011576896761059333
39,id,12,96,17,0.9882447719573975,df-g1,0.01689501322146777,0.004368605699433203,0.00440249144936707,0.001867559170139476,0.01818588622020205,0.0004386631757668716,0.0009304329274738031,0.00043595187150380355,0.0006287214002893907,0.3189735587856226,0.31878078925683706,0.0028446515440254546,0.040975255239233295,0.0004121791067613345,9.229020438305396e-05,0.016142663544058702
50,id,9,90,18,0.8088169097900391,df-g1,0.01924335151846516,0.00802860742200906,0.008065888869549403,0.0007680052905126413,0.016558009047160104,1.3693704034828445e-05,0.00022444571052648203,1.2689576120356039e-05,0.00022086366664974405,0.2581570751869556,0.2579489010964262,0.004477175222731522,0.00849911647432767,-5.249220751216144e-05,-0.0003891164027415954,0.014142738467249755
52,id,8,85,18,0.7396054267883301,df-g1,0.015656262993303322,0.0044140025925649695,0.0046779056633676225,0.0007899740666906533,0.015536947262156785,0.00013416327054813597,0.0006489625145544843,0.00013459472649074433,0.0006447906448439301,0.2521954030949027,0.25168520717654946,0.006378653156807316,0.004409620957483028,-4.1959515005574044e-05,-0.0002499394990002086,0.012295400728905774
56,id,8,85,18,0.7661640644073486,df-g1,0.02277881436765103,0.003721624317055472,0.00387593014442319,0.0020134963103700765,0.025334383747342253,-0.0016887621376128418,0.001018900998755211,-0.0017233927599185073,0.0009978304739250848,0.21311248990758835,0.21039126667374478,0.008891289094962063,0.009506611581077271,-0.0010564501747761246,-0.0005481079632602276,0.018550897074791378
