id,ckpt,n_atoms,n_heavy,fminus_hat_rho,fminus_hat_top_match,fminus_hat_top_match_tol,fminus_hat_top_rank,fminus_hat_n_top_equiv,fplus_hat_rho,fplus_hat_top_match,fplus_hat_top_match_tol,fplus_hat_top_rank,fplus_hat_n_top_equiv,dual_hat_rho,dual_hat_top_match,dual_hat_top_match_tol,dual_hat_top_rank,dual_hat_n_top_equiv
11,id,6,3,1.0,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,1
24,id,4,4,1.0,True,True,0,2,0.7999999999999999,True,True,0,2,1.0,True,True,0,2
31,id,8,4,1.0,True,True,0,1,0.6000000000000001,False,True,1,2,0.7999999999999999,False,True,1,2
32,id,8,4,1.0,True,True,0,1,1.0,True,True,0,1,0.19999999999999998,False,False,2,1
33,id,7,4,1.0,True,True,0,1,1.0,True,True,0,2,1.0,True,True,0,1
38,id,14,4,0.7999999999999999,False,True,1,2,-0.6000000000000001,False,False,2,2,1.0,True,True,0,2
39,id,12,4,1.0,True,True,0,1,0.7999999999999999,False,True,1,3,0.7999999999999999,False,True,1,2
50,id,9,5,0.9999999999999999,True,True,0,1,0.9999999999999999,True,True,0,1,0.9999999999999999,True,True,0,1
52,id,8,5,0.9999999999999999,True,True,0,1,0.9999999999999999,True,True,0,1,0.9999999999999999,True,True,0,1
56,id,8,5,0.9999999999999999,True,True,0,1,0.9999999999999999,True,True,0,1,0.9999999999999999,True,True,0,1
68,id,11,5,0.9999999999999999,True,True,0,1,0.9999999999999999,True,True,0,1,0.9999999999999999,True,True,0,1
70,id,12,5,0.9999999999999999,True,True,0,1,0.9999999999999999,True,True,0,1,0.9999999999999999,True,True,0,1
74,id,11,5,0.9999999999999999,True,True,0,1,0.9999999999999999,True,True,0,1,0.9999999999999999,True,True,0,1
91,id,15,5,0.8999999999999998,True,True,0,1,0.6,True,True,0,1,0.0,False,True,3,4
98,id,14,5,0.9999999999999999,True,True,0,1,0.9999999999999999,True,True,0,2,0.9999999999999999,True,True,0,1
108,id,9,5,0.9999999999999999,True,True,0,1,0.9999999999999999,True,True,0,1,0.9999999999999999,True,True,0,1
111,id,9,5,0.9999999999999999,True,True,0,2,0.8999999999999998,True,True,0,1,nan,False,False,3,1
113,id,9,5,0.7,True,True,0,1,0.7999999999999999,True,True,0,1,0.9999999999999999,True,True,0,1
116,id,12,5,0.9999999999999999,True,True,0,1,0.9999999999999999,True,True,0,1,0.9999999999999999,True,True,0,1
123,id,10,5,0.9999999999999999,True,True,0,1,0.8999999999999998,True,True,0,1,0.9999999999999999,True,True,0,1
124,id,13,5,0.9999999999999999,True,True,0,1,0.8999999999999998,True,True,0,1,0.9999999999999999,True,True,0,1
126,id,11,5,0.9999999999999999,True,True,0,1,0.9999999999999999,True,True,0,1,0.9999999999999999,True,True,0,1
130,id,15,5,0.9999999999999999,True,True,0,1,0.9999999999999999,True,True,0,4,0.9999999999999999,True,True,0,3
134,id,13,5,0.9999999999999999,True,True,0,2,0.9999999999999999,True,True,0,3,0.9999999999999999,True,True,0,1
138,id,10,5,0.8999999999999998,True,True,0,1,0.9999999999999999,True,True,0,1,0.8999999999999998,True,True,0,1
141,id,11,5,0.9999999999999999,True,True,0,1,0.9999999999999999,True,True,0,1,0.9999999999999999,True,True,0,1
170,id,6,5,0.9999999999999999,True,True,0,1,0.9999999999999999,True,True,0,1,0.9999999999999999,True,True,0,1
174,id,11,6,0.942857142857143,False,True,1,2,1.0,True,True,0,1,1.0,True,True,0,1
196,id,12,6,1.0,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,2
202,id,10,6,1.0,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,1
213,id,16,6,1.0,True,True,0,1,0.7714285714285715,True,True,0,1,0.4285714285714286,True,True,0,1
223,id,18,6,1.0,True,True,0,1,0.942857142857143,False,False,1,1,0.8285714285714287,False,False,1,1
230,id,11,6,1.0,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,1
239,id,11,6,1.0,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,1
240,id,11,6,1.0,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,1
245,id,14,6,0.8285714285714287,True,True,0,1,0.8285714285714287,True,True,0,1,0.7714285714285715,True,True,0,1
260,id,13,6,1.0,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,1
262,id,13,6,1.0,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,1
271,id,12,6,0.8857142857142858,True,True,0,2,0.942857142857143,False,True,1,2,0.8857142857142858,False,True,1,2
282,id,18,6,1.0,True,True,0,1,0.942857142857143,True,True,0,3,0.942857142857143,False,True,1,2
288,id,14,6,1.0,True,True,0,1,0.942857142857143,True,True,0,2,0.942857142857143,True,True,0,2
300,id,12,6,1.0,True,True,0,1,0.942857142857143,True,True,0,1,1.0,True,True,0,1
306,id,16,6,1.0,True,True,0,3,0.8285714285714287,True,True,0,2,0.6571428571428573,False,True,3,4
310,id,13,6,0.7714285714285715,True,True,0,1,1.0,True,True,0,4,0.942857142857143,False,True,1,3
329,id,12,6,0.942857142857143,False,True,1,2,0.8857142857142858,False,True,1,2,0.942857142857143,True,True,0,2
331,id,11,6,1.0,True,True,0,1,1.0,True,True,0,2,1.0,True,True,0,2
339,id,10,6,1.0,True,True,0,1,1.0,True,True,0,1,0.942857142857143,True,True,0,1
344,id,12,6,1.0,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,1
352,id,13,6,1.0,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,1
370,id,13,6,1.0,True,True,0,1,1.0,True,True,0,2,0.942857142857143,False,True,1,2
379,id,12,6,0.942857142857143,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,1
393,id,11,6,1.0,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,2
438,id,14,6,1.0,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,1
458,id,16,6,1.0,True,True,0,1,1.0,True,True,0,2,1.0,True,True,0,1
470,id,14,6,1.0,True,True,0,1,0.942857142857143,True,True,0,1,1.0,True,True,0,1
499,id,12,6,0.942857142857143,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,1
500,id,11,6,1.0,True,True,0,1,1.0,True,True,0,1,0.942857142857143,True,True,0,1
505,id,12,6,1.0,True,True,0,1,1.0,True,True,0,1,0.942857142857143,True,True,0,1
511,id,14,6,1.0,True,True,0,2,0.942857142857143,True,True,0,1,0.942857142857143,False,True,1,3
512,id,16,6,1.0,True,True,0,2,0.942857142857143,True,True,0,1,1.0,True,True,0,1
522,id,14,6,1.0,True,True,0,1,0.942857142857143,True,True,0,1,1.0,True,True,0,2
527,id,14,6,1.0,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,1
528,id,14,6,1.0,True,True,0,1,0.942857142857143,True,True,0,1,1.0,True,True,0,1
530,id,13,6,0.942857142857143,True,True,0,1,0.8285714285714287,True,True,0,1,0.942857142857143,True,True,0,1
540,id,16,6,0.8285714285714287,False,True,1,2,0.8857142857142858,False,True,1,2,0.8285714285714287,False,True,1,2
566,id,11,6,1.0,True,True,0,1,1.0,True,True,0,2,1.0,True,True,0,2
582,id,16,6,1.0,True,True,0,1,0.942857142857143,False,True,1,2,1.0,True,True,0,1
