id,ckpt,n_atoms,n_basis,n_occ,t_fock_s,cycles_minao,t_minao,E_minao,conv_minao,dE_minao_mHa,cycles_P_hat,t_P_hat,E_P_hat,conv_P_hat,dE_P_hat_mHa,cycles_P_F1,t_P_F1,E_P_F1,conv_P_F1,dE_P_F1_mHa,same_state_P_hat,same_state_P_F1,n_heavy,fminus_hat_rho,fminus_hat_top_match,fminus_hat_top_match_tol,fminus_hat_top_rank,fminus_hat_n_top_equiv,fplus_hat_rho,fplus_hat_top_match,fplus_hat_top_match_tol,fplus_hat_top_rank,fplus_hat_n_top_equiv,dual_hat_rho,dual_hat_top_match,dual_hat_top_match_tol,dual_hat_top_rank,dual_hat_n_top_equiv,fminus_F1_rho,fminus_F1_top_match,fminus_F1_top_match_tol,fminus_F1_top_rank,fminus_F1_n_top_equiv,fplus_F1_rho,fplus_F1_top_match,fplus_F1_top_match_tol,fplus_F1_top_rank,fplus_F1_n_top_equiv,dual_F1_rho,dual_F1_top_match,dual_F1_top_match_tol,dual_F1_top_rank,dual_F1_n_top_equiv
21909,id,18,171,35,5.712214946746826,11,23.708889961242676,-475.6854324294317,True,0.0,8,20.023285627365112,-475.6854324295162,True,-8.446932042716071e-08,7,18.802586317062378,-475.6854324295072,True,-7.548806024715304e-08,True,True,9,1.0,True,True,0,1,1.0,True,True,0,1,0.9833333333333333,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,1
16976,id,18,162,30,4.595622777938843,10,18.686718702316284,-347.4050921189516,True,0.0,7,15.935411930084229,-347.4050921189825,True,-3.092281986027956e-08,6,13.737534761428833,-347.40509211897046,True,-1.887201506178826e-08,True,True,8,1.0,True,True,0,2,0.7380952380952381,True,True,0,4,0.9285714285714287,False,True,2,3,1.0,True,True,0,2,1.0,True,True,0,4,0.9761904761904763,False,True,1,3
43573,id,13,146,33,3.1268973350524902,12,17.23575258255005,-493.1862936426744,True,0.0,8,13.125202894210815,-493.18629364273943,True,-6.502887117676437e-08,7,11.650101900100708,-493.1862936427252,True,-5.0818016461562365e-08,True,True,9,1.0,True,True,0,1,0.9500000000000001,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,1
124156,id,18,171,34,4.842907190322876,12,28.313181400299072,-434.82206887931477,True,0.0,8,21.776991844177246,-434.82206887935456,True,-3.979039320256561e-08,7,17.416918754577637,-434.82206887932364,True,-8.86757334228605e-09,True,True,9,1.0,True,True,0,1,0.9833333333333333,True,True,0,1,1.0,True,True,0,2,1.0,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,2
100682,id,21,186,35,6.871642112731934,11,31.145171642303467,-419.9473130619673,True,0.0,8,23.573315382003784,-419.947313062033,True,-6.571099220309407e-08,7,21.811827182769775,-419.9473130620113,True,-4.3996806198265404e-08,True,True,9,0.8333333333333333,True,True,0,1,0.9166666666666666,True,True,0,1,0.9833333333333333,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,1
5693,id,22,182,33,6.611161708831787,10,26.102171659469604,-386.97601744127263,True,0.0,7,20.76763153076172,-386.97601744126877,True,3.865352482534945e-09,6,19.352949380874634,-386.9760174412423,True,3.035438567167148e-08,True,True,8,1.0,True,True,0,1,0.9761904761904763,True,True,0,4,0.9761904761904763,True,True,0,2,1.0,True,True,0,1,1.0,True,True,0,4,1.0,True,True,0,2
76862,id,18,171,32,4.9216859340667725,11,23.044540643692017,-364.2967340363428,True,0.0,8,18.777484893798828,-364.29673403633757,True,5.229594535194337e-09,6,17.17529797554016,-364.2967340360569,True,2.859223968698643e-07,True,True,9,0.9833333333333333,True,True,0,1,1.0,True,True,0,1,0.9666666666666667,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,1
79945,id,19,176,34,5.802792549133301,11,24.468693256378174,-418.7585261594521,True,0.0,8,22.5578932762146,-418.75852615957683,True,-1.2471446098061278e-07,7,18.920472383499146,-418.7585261595724,True,-1.2028067430946976e-07,True,True,9,0.9833333333333333,True,True,0,1,0.9833333333333333,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,1
7079,id,16,152,31,3.4755499362945557,11,17.740213632583618,-420.45842294114755,True,0.0,8,14.766036033630371,-420.45842294139345,True,-2.4590462999185547e-07,7,13.341671705245972,-420.45842294136173,True,-2.141860022675246e-07,True,True,8,1.0,True,True,0,1,0.9761904761904763,True,True,0,1,1.0,True,True,0,1,0.9761904761904763,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,1
72905,id,18,171,32,5.12920880317688,11,23.389512062072754,-364.38223080863156,True,0.0,8,19.594587326049805,-364.3822308086004,True,3.115019353572279e-08,7,18.019473552703857,-364.3822308085746,True,5.695710569852963e-08,True,True,9,1.0,True,True,0,1,0.9833333333333333,True,True,0,1,1.0,True,True,0,1,0.9833333333333333,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,1
